MATCH EA6B5346 after generation 2046 (135468 ms, 66 ms/gen)
MATCH 1A326764 after generation 336 (22301 ms, 66 ms/gen)
MATCH 28A15004 after generation 444 (29441 ms, 66 ms/gen)
MATCH 2B2972A6 after generation 1539 (101896 ms, 66 ms/gen)
MATCH DD253425 after generation 747 (49490 ms, 66 ms/gen)
MATCH B2E01286 after generation 815 (53997 ms, 66 ms/gen)
MATCH 537E3D44 after generation 344 (22835 ms, 66 ms/gen)
MATCH D0AC9FA4 after generation 366 (24290 ms, 66 ms/gen)
MATCH F4F72484 after generation 233 (15490 ms, 66 ms/gen)
MATCH 853F32C6 after generation 415 (27524 ms, 66 ms/gen)
MATCH 785766C5 after generation 732 (48494 ms, 66 ms/gen)
MATCH CF1CE1C4 after generation 1108 (73392 ms, 66 ms/gen)
MATCH 6F0CF0A5 after generation 419 (27795 ms, 66 ms/gen)
MATCH FC93FB44 after generation 673 (44611 ms, 66 ms/gen)
MATCH FB0C9186 after generation 694 (45987 ms, 66 ms/gen)
MATCH 1A25EEC6 after generation 587 (38914 ms, 66 ms/gen)
MATCH 62687B05 after generation 431 (28592 ms, 66 ms/gen)
MATCH 897072A4 after generation 848 (56177 ms, 66 ms/gen)
MATCH 1C4EA465 after generation 704 (46651 ms, 66 ms/gen)
MATCH A9A23806 after generation 331 (21972 ms, 66 ms/gen)
MATCH 9E0A307 after generation 333 (22103 ms, 66 ms/gen)
MATCH B8A0DDA4 after generation 537 (35602 ms, 66 ms/gen)
MATCH 570E0104 after generation 447 (29644 ms, 66 ms/gen)
MATCH 813F2004 after generation 226 (15026 ms, 66 ms/gen)
MATCH FC927F65 after generation 1915 (126803 ms, 66 ms/gen)
MATCH 25DB4F86 after generation 771 (51097 ms, 66 ms/gen)
MATCH B2E23786 after generation 1304 (86367 ms, 66 ms/gen)
MATCH CE2B4CA4 after generation 563 (37327 ms, 66 ms/gen)
MATCH 64701DE6 after generation 269 (17866 ms, 66 ms/gen)
MATCH F56B4424 after generation 661 (43803 ms, 66 ms/gen)
MATCH 80AC9A07 after generation 1079 (71469 ms, 66 ms/gen)
MATCH 1381AC86 after generation 291 (19326 ms, 66 ms/gen)
MATCH F149D786 after generation 435 (28855 ms, 66 ms/gen)
MATCH 1DB114A6 after generation 330 (21901 ms, 66 ms/gen)
MATCH 1AFD9786 after generation 2221 (147049 ms, 66 ms/gen)
MATCH D4634425 after generation 934 (61868 ms, 66 ms/gen)
MATCH 97DF9605 after generation 282 (18735 ms, 66 ms/gen)
MATCH 3C5DE9C7 after generation 258 (17142 ms, 66 ms/gen)
MATCH 816B9CC7 after generation 1125 (74511 ms, 66 ms/gen)
MATCH 5EB6947 after generation 884 (58553 ms, 66 ms/gen)
MATCH B0529704 after generation 874 (57902 ms, 66 ms/gen)
MATCH AF0EE5A6 after generation 262 (17411 ms, 66 ms/gen)
MATCH F1239FA6 after generation 1039 (68832 ms, 66 ms/gen)
MATCH F58F47A4 after generation 288 (19130 ms, 66 ms/gen)
MATCH 5E2BDFA6 after generation 592 (39236 ms, 66 ms/gen)
MATCH 53C2FCC7 after generation 596 (39509 ms, 66 ms/gen)
MATCH 80789D65 after generation 891 (59030 ms, 66 ms/gen)
MATCH 168350A5 after generation 301 (19986 ms, 66 ms/gen)
MATCH FC731927 after generation 392 (26009 ms, 66 ms/gen)
MATCH 1CA331C6 after generation 530 (35142 ms, 66 ms/gen)
MATCH 659DFE05 after generation 903 (59818 ms, 66 ms/gen)
MATCH B066F067 after generation 351 (23298 ms, 66 ms/gen)
MATCH 1090D5E4 after generation 385 (25555 ms, 66 ms/gen)
MATCH 77BF4664 after generation 824 (54600 ms, 66 ms/gen)
MATCH D678F964 after generation 870 (57636 ms, 66 ms/gen)
MATCH 8CE1E566 after generation 1589 (105186 ms, 66 ms/gen)
MATCH 4D0782A7 after generation 1288 (85311 ms, 66 ms/gen)
MATCH 59902B04 after generation 394 (26142 ms, 66 ms/gen)
MATCH EF4D6BE4 after generation 951 (63010 ms, 66 ms/gen)
MATCH C85A5D24 after generation 1012 (67037 ms, 66 ms/gen)
MATCH 88C02BE4 after generation 321 (21315 ms, 66 ms/gen)
MATCH 4350F564 after generation 689 (45666 ms, 66 ms/gen)
MATCH 7B43C564 after generation 1447 (95829 ms, 66 ms/gen)
MATCH 22E22AC4 after generation 360 (23888 ms, 66 ms/gen)
MATCH 93F522E4 after generation 752 (49825 ms, 66 ms/gen)
MATCH ABDD5C6 after generation 448 (29711 ms, 66 ms/gen)
MATCH D9DF67A4 after generation 396 (26274 ms, 66 ms/gen)
MATCH 6EBD6A24 after generation 356 (23632 ms, 66 ms/gen)
MATCH B6407665 after generation 987 (65384 ms, 66 ms/gen)
MATCH 9E3020C5 after generation 398 (26400 ms, 66 ms/gen)
MATCH 164C8224 after generation 653 (43280 ms, 66 ms/gen)
MATCH 93E87724 after generation 1940 (128449 ms, 66 ms/gen)
MATCH EBF68A87 after generation 1157 (76615 ms, 66 ms/gen)
MATCH 16AA284 after generation 222 (14759 ms, 66 ms/gen)
